contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
3293600394,3293600394_1_1290,607985420,BGC0000720,1,1290,['putative glycosyltransferase'],True,Saccharide
3293600394,3293600394_1280_2497,1796413736,BGC0000720,1280,2497,,True,Saccharide
3293600394,3293600394_2494_3654,1136653415,BGC0000720,2494,3654,['2-deoxy-scyllo-inosose synthase'],True,Saccharide
3293600394,3293600394_3684_4958,4238427165,BGC0000720,3684,4958,['putative 2-deoxy-scyllo-inosose aminotransferase'],True,Saccharide
3293600394,3293600394_5186_6898,2592192628,BGC0000720,5186,6898,['putative carbamoyltransferase'],True,Saccharide
3293600394,3293600394_7015_8541,682428315,BGC0000720,7015,8541,['hypothetical protein'],True,Saccharide
3293600394,3293600394_8582_9769,218932760,BGC0000720,8582,9769,['hypothetical protein'],True,Saccharide
3293600394,3293600394_9909_11219,2788204363,BGC0000720,9909,11219,['putative transport protein'],True,Saccharide
3293600394,3293600394_11379_12398,3190443402,BGC0000720,11379,12398,['putative dehydrogenase'],True,Saccharide
3293600394,3293600394_13083_13643,1426840628,BGC0000720,13083,13643,,True,Saccharide
