contig_id,orf_id,protein_id,mibig_name,start,stop,CDS_product,ground_truth,mibig_chemotypes
3355024963,3355024963_2_262,921737018,BGC0000797,2,262,,False,
3355024963,3355024963_325_1944,1639983821,BGC0000797,325,1944,['unknown'],True,Saccharide
3355024963,3355024963_1955_3253,1492722097,BGC0000797,1955,3253,['unknown'],True,Saccharide
3355024963,3355024963_3313_5325,3252673649,BGC0000797,3313,5325,['unknown'],True,Saccharide
3355024963,3355024963_5526_6473,1538525127,BGC0000797,5526,6473,['glycosyl transferase'],True,Saccharide
3355024963,3355024963_6558_7460,2054743934,BGC0000797,6558,7460,['unknown'],True,Saccharide
3355024963,3355024963_7588_8646,2381283972,BGC0000797,7588,8646,['glycosyl transferase'],True,Saccharide
3355024963,3355024963_8643_9509,2933426317,BGC0000797,8643,9509,['glycosyl transferase'],True,Saccharide
3355024963,3355024963_9552_10940,806085697,BGC0000797,9552,10940,['unknown'],True,Saccharide
3355024963,3355024963_11038_11289,1975735013,BGC0000797,11038,11289,,True,Saccharide
3355024963,3355024963_11569_12867,901957188,BGC0000797,11569,12867,['unknown'],True,Saccharide
3355024963,3355024963_12882_13787,1835568118,BGC0000797,12882,13787,['unknown'],True,Saccharide
3355024963,3355024963_13822_15165,3997774474,BGC0000797,13822,15165,['unknown'],True,Saccharide
3355024963,3355024963_15165_15872,3736809057,BGC0000797,15165,15872,['unknown'],True,Saccharide
3355024963,3355024963_15883_16764,1485271991,BGC0000797,15883,16764,['unknown'],True,Saccharide
3355024963,3355024963_16748_17446,960466994,BGC0000797,16748,17446,['unknown'],True,Saccharide
3355024963,3355024963_17507_18901,2368223027,BGC0000797,17507,18901,['unknown'],True,Saccharide
3355024963,3355024963_18898_21084,3196173371,BGC0000797,18898,21084,['unknown'],True,Saccharide
3355024963,3355024963_21643_23118,2928612583,BGC0000797,21643,23118,['glucosyl-isoprenylphosphate transferase'],True,Saccharide
3355024963,3355024963_23238_24116,4246135941,BGC0000797,23238,24116,['glucose-1-phosphate thymidylyltransferase'],True,Saccharide
3355024963,3355024963_24113_24679,2681364882,BGC0000797,24113,24679,"['dTDP-6-deoxy-D-glucose-3,5-epimerase']",True,Saccharide
3355024963,3355024963_24683_25744,3532945997,BGC0000797,24683,25744,"['dTDP-D-glucose-4,6-dehydratase']",True,Saccharide
3355024963,3355024963_25744_26610,3464277325,BGC0000797,25744,26610,['dTDP-6-deoxy-L-mannose-dehydrogenase'],True,Saccharide
3355024963,3355024963_26724_27536,3144094342,BGC0000797,26724,27536,['unknown'],True,Saccharide
3355024963,3355024963_27747_28703,3063062107,BGC0000797,27747,28703,['unknown'],True,Saccharide
3355024963,3355024963_28678_28803,493849716,BGC0000797,28678,28803,,False,
